FileName,JobID,JobName,Partition,State,ExitCode,Start,End,Elapsed,NCPUS,NNodes,NodeList,ReqMem,MaxRSS,AllocCPUS,Timelimit,TotalCPU
1 1 1 1_0.7 0.8_10 2_with_1000_sims.log,431825,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T03:05:37,03:18:48,8,4,"p1cmp[029,043-+",120G,1855672K,8,1-00:00:00,03:18:42
1 1 1 1_0.7 0.8_3 3_with_1000_sims.log,431823,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T01:11:02,01:24:13,8,4,"p1cmp[028,043-+",120G,421772K,8,1-00:00:00,01:24:08
1 1 1 1_0.7 0.8_3 5_with_1000_sims.log,431826,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T02:03:27,02:16:38,8,4,"p1cmp[029,043-+",120G,801432K,8,1-00:00:00,02:16:33
1 1 1 1_0.7 0.8_5 2_with_1000_sims.log,431824,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T01:37:35,01:50:46,8,4,"p1cmp[028,043-+",120G,695824K,8,1-00:00:00,01:50:41
1 1 1 1_0.7 0.8_5 5_with_1000_sims.log,431828,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T04:57:56,05:11:07,8,4,c1cmp[006-008]+,120G,1457112K,8,1-00:00:00,05:10:34
1 1 1 1_0.7 0.8_6 6_with_1000_sims.log,431830,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:27:22,05:40:33,8,4,c1cmp[019-022],120G,1930460K,8,1-00:00:00,05:39:59
1 1 1 1_0.7 0.8_8 3_with_1000_sims.log,431829,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:04:20,05:17:31,8,4,c1cmp[019-022],120G,1709012K,8,1-00:00:00,05:16:57
1 1 1 1_0.7 0.8_8 6_with_1000_sims.log,431827,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:39:52,05:53:03,8,4,"c1cmp034,p1cmp+",120G,2444412K,8,1-00:00:00,05:52:20
2 1 2 0.5_0.7 0.8_10 2_with_1000_sims.log,431841,port_elec+,batch,COMPLETED,0:0,2024-01-28T02:03:27,2024-01-28T04:58:22,02:54:55,8,4,"p1cmp[028,043-+",120G,1862892K,8,1-00:00:00,02:54:47
2 1 2 0.5_0.7 0.8_3 3_with_1000_sims.log,431839,port_elec+,batch,COMPLETED,0:0,2024-01-28T01:37:35,2024-01-28T03:04:12,01:26:37,8,4,"p1cmp[028,043-+",120G,442444K,8,1-00:00:00,01:26:30
2 1 2 0.5_0.7 0.8_3 5_with_1000_sims.log,431842,port_elec+,batch,COMPLETED,0:0,2024-01-28T02:32:52,2024-01-28T04:38:29,02:05:37,8,4,"p1cmp[028,043-+",120G,849892K,8,1-00:00:00,02:05:27
2 1 2 0.5_0.7 0.8_5 2_with_1000_sims.log,431840,port_elec+,batch,COMPLETED,0:0,2024-01-28T01:11:02,2024-01-28T04:48:38,03:37:36,8,4,"c1cmp[014-016,+",120G,713604K,8,1-00:00:00,03:37:08
2 1 2 0.5_0.7 0.8_5 5_with_1000_sims.log,431844,port_elec+,batch,COMPLETED,0:0,2024-01-28T03:05:37,2024-01-28T05:52:47,02:47:10,8,4,"p1cmp[028,043-+",120G,1446232K,8,1-00:00:00,02:47:03
2 1 2 0.5_0.7 0.8_6 6_with_1000_sims.log,431846,port_elec+,batch,COMPLETED,0:0,2024-01-28T03:37:57,2024-01-28T09:00:32,05:22:35,8,4,c1cmp[010-012]+,120G,1887.50M,8,1-00:00:00,05:22:02
2 1 2 0.5_0.7 0.8_8 3_with_1000_sims.log,431845,port_elec+,batch,COMPLETED,0:0,2024-01-28T03:36:23,2024-01-28T08:44:50,05:08:27,8,4,c1cmp[006-008]+,120G,1715716K,8,1-00:00:00,05:07:50
2 1 2 0.5_0.7 0.8_8 6_with_1000_sims.log,431843,port_elec+,batch,COMPLETED,0:0,2024-01-28T03:04:12,2024-01-28T06:27:27,03:23:15,8,4,"p1cmp[028,043-+",120G,2408536K,8,1-00:00:00,03:23:08
2 2 2 2_0.7 0.8_10 2_with_1000_sims.log,431833,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:15:08,05:28:19,8,4,"c1cmp[006-008,+",120G,1872648K,8,1-00:00:00,05:27:45
2 2 2 2_0.7 0.8_3 3_with_1000_sims.log,431831,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T02:32:52,02:46:03,8,4,c1cmp[019-022],120G,461296K,8,1-00:00:00,02:45:29
2 2 2 2_0.7 0.8_3 5_with_1000_sims.log,431834,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T03:37:56,03:51:07,8,4,"c1cmp[010-012,+",120G,877784K,8,1-00:00:00,03:50:43
2 2 2 2_0.7 0.8_5 2_with_1000_sims.log,431832,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T03:36:22,03:49:33,8,4,"c1cmp[006-008,+",120G,786960K,8,1-00:00:00,03:49:00
2 2 2 2_0.7 0.8_5 5_with_1000_sims.log,431836,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T04:54:53,05:08:04,8,4,"c1cmp[010-012,+",120G,1497020K,8,1-00:00:00,05:07:39
2 2 2 2_0.7 0.8_6 6_with_1000_sims.log,431838,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:27:10,05:40:21,8,4,"c1cmp[014-016,+",120G,1948184K,8,1-00:00:00,05:39:47
2 2 2 2_0.7 0.8_8 3_with_1000_sims.log,431837,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T05:09:20,05:22:31,8,4,"c1cmp[014-016,+",120G,1725212K,8,1-00:00:00,05:21:59
2 2 2 2_0.7 0.8_8 6_with_1000_sims.log,431835,port_elec+,batch,COMPLETED,0:0,2024-01-27T23:46:49,2024-01-28T06:09:18,06:22:29,8,4,"c1cmp[010-012,+",120G,2419228K,8,1-00:00:00,06:22:05
